Frequency;Doodson;τ;s;h;p;N’;ps;l;l’;F;D;Ω;Δrf_ip;Δrf_op;Δtf_ip;Δtf_op
13.39866;135655;1;-2;0;1;0;0;1;0;2;0;2;-0.0800;0.0000;-0.0100;0.0100
13.94083;145545;1;-1;0;0;-1;0;0;0;2;0;1;-0.1000;0.0000;0.0000;0.0000
13.94303;145555;1;-1;0;0;0;0;0;0;2;0;2;-0.5100;0.0000;-0.0200;0.0300
14.49669;155655;1;0;0;1;0;0;1;0;0;0;0;0.0600;0.0000;0.0000;0.0000
14.91787;162556;1;1;-3;0;0;1;0;1;2;-2;2;-0.0600;0.0000;0.0000;0.0000
14.95893;163555;1;1;-2;0;0;0;0;0;2;-2;2;-1.2300;-0.0700;0.0600;0.0100
15.03886;165545;1;1;0;0;-1;0;0;0;0;0;-1;-0.2200;0.0100;0.0100;0.0000
15.04107;165555;1;1;0;0;0;0;0;0;0;0;0;12.0000;-0.7800;-0.6700;-0.0300
15.04328;165565;1;1;0;0;1;0;0;0;0;0;1;1.7300;-0.1200;-0.1000;0.0000
15.08214;166554;1;1;1;0;0;-1;0;-1;0;0;0;-0.5000;-0.0100;0.0300;0.0000
15.12321;167555;1;1;2;0;0;0;0;0;-2;2;-2;-0.1100;0.0100;0.0100;0.0000
0.00221;55565;0;0;0;0;1;0;0;0;0;0;1;0.4700;0.1600;0.2300;0.0700
0.08214;57555;0;0;2;0;0;0;0;0;-2;2;-2;-0.2000;-0.1100;-0.1200;-0.0500
0.54438;65455;0;1;0;-1;0;0;-1;0;0;0;0;-0.1100;-0.0900;-0.0800;-0.0400
1.09804;75555;0;2;0;0;0;0;0;0;-2;0;-2;-0.1300;-0.1500;-0.1100;-0.0700
1.10024;75565;0;2;0;0;1;0;0;0;-2;0;-1;-0.0500;-0.0600;-0.0500;-0.0300
